Actual_Sales,Predicted_Sales,Error
16.9,17.73,-0.83
22.4,21.74,0.66
21.4,20.87,0.53
7.3,6.82,0.48
24.7,23.1,1.6
12.6,13.47,-0.87
22.3,22.5,-0.2
8.4,9.67,-1.27
11.5,11.85,-0.35
14.9,15.55,-0.65
9.5,7.56,1.94
8.7,9.06,-0.36
11.9,12.15,-0.25
5.3,4.83,0.47
10.3,10.51,-0.21
11.7,12.58,-0.88
5.5,6.55,-1.05
16.6,16.46,0.14
11.3,11.38,-0.08
18.9,19.63,-0.73
19.7,19.95,-0.25
12.5,13.07,-0.57
10.9,10.28,0.62
22.2,21.95,0.25
9.3,9.98,-0.68
8.1,8.96,-0.86
21.7,22.22,-0.52
13.4,12.68,0.72
10.6,10.2,0.4
5.7,5.46,0.24
10.6,11.54,-0.94
11.3,10.87,0.43
23.7,22.16,1.54
8.7,8.45,0.25
16.1,15.3,0.8
20.7,20.43,0.27
11.6,12.14,-0.54
20.8,20.87,-0.07
11.9,12.26,-0.36
6.9,7.56,-0.66
